transmission,seeds,trials,clicks,observed_probability,expected_probability,ci95_lower,ci95_upper,absolute_error
0.0000000000,3,12288,0,0.0000000000,0.0000000000,0.0000000000,0.0003125210,0.0000000000
0.1000000000,3,12288,577,0.0469563802,0.0480000000,0.0433555303,0.0508404015,0.0010436198
0.2000000000,3,12288,1162,0.0945638021,0.0960000000,0.0895160945,0.0998649243,0.0014361979
0.3000000000,3,12288,1764,0.1435546875,0.1440000000,0.1374664189,0.1498657494,0.0004453125
0.4000000000,3,12288,2353,0.1914876302,0.1920000000,0.1846274789,0.1985406147,0.0005123698
0.5000000000,3,12288,2964,0.2412109375,0.2400000000,0.2337283029,0.2488553261,0.0012109375
0.6000000000,3,12288,3557,0.2894694010,0.2880000000,0.2815175487,0.2975528439,0.0014694010
0.7000000000,3,12288,4181,0.3402506510,0.3360000000,0.3319245832,0.3486765689,0.0042506510
0.8000000000,3,12288,4767,0.3879394531,0.3840000000,0.3793601272,0.3965888216,0.0039394531
0.9000000000,3,12288,5347,0.4351399740,0.4320000000,0.4263957735,0.4439247147,0.0031399740
1.0000000000,3,12288,5958,0.4848632812,0.4800000000,0.4760329299,0.4937030937,0.0048632812
