phase_index,phase_over_pi,phase_rad,shots,clicks,observed_probability,expected_probability,ci95_lower,ci95_upper,absolute_error
0,0.0000000000,0.0000000000,2048,2048,1.0000000000,1.0000000000,0.9981277994,1.0000000000,0.0000000000
1,0.0625000000,0.1963495408,2048,2030,0.9912109375,0.9903926402,0.9861493103,0.9944332738,0.0008182973
2,0.1250000000,0.3926990817,2048,1957,0.9555664062,0.9619397663,0.9457569500,0.9636700391,0.0063733600
3,0.1875000000,0.5890486225,2048,1855,0.9057617188,0.9157348062,0.8923377977,0.9176663051,0.0099730874
4,0.2500000000,0.7853981634,2048,1750,0.8544921875,0.8535533906,0.8385569297,0.8691000844,0.0009387969
5,0.3125000000,0.9817477042,2048,1584,0.7734375000,0.7777851165,0.7548056528,0.7910454875,0.0043476165
6,0.3750000000,1.1780972451,2048,1403,0.6850585938,0.6913417162,0.6646110441,0.7048132097,0.0062831224
7,0.4375000000,1.3744467859,2048,1256,0.6132812500,0.5975451610,0.5919961998,0.6341421297,0.0157360890
8,0.5000000000,1.5707963268,2048,1024,0.5000000000,0.5000000000,0.4783655333,0.5216344667,0.0000000000
9,0.5625000000,1.7671458676,2048,848,0.4140625000,0.4024548390,0.3929102658,0.4355365187,0.0116076610
10,0.6250000000,1.9634954085,2048,617,0.3012695312,0.3086582838,0.2817859085,0.3214972806,0.0073887526
11,0.6875000000,2.1598449493,2048,462,0.2255859375,0.2222148835,0.2080073871,0.2441920043,0.0033710540
12,0.7500000000,2.3561944902,2048,326,0.1591796875,0.1464466094,0.1439752554,0.1756602876,0.0127330781
13,0.8125000000,2.5525440310,2048,207,0.1010742188,0.0842651938,0.0887572970,0.1148848786,0.0168090249
14,0.8750000000,2.7488935719,2048,89,0.0434570312,0.0380602337,0.0354486350,0.0531749075,0.0053967975
15,0.9375000000,2.9452431127,2048,16,0.0078125000,0.0096073598,0.0048146101,0.0126533373,0.0017948598
16,1.0000000000,3.1415926536,2048,0,0.0000000000,0.0000000000,0.0000000000,0.0018722006,0.0000000000
17,1.0625000000,3.3379421944,2048,23,0.0112304688,0.0096073598,0.0074950677,0.0167960190,0.0016231090
18,1.1250000000,3.5342917353,2048,78,0.0380859375,0.0380602337,0.0306238679,0.0472775987,0.0000257038
19,1.1875000000,3.7306412761,2048,186,0.0908203125,0.0842651938,0.0791293257,0.1040434322,0.0065551187
20,1.2500000000,3.9269908170,2048,293,0.1430664062,0.1464466094,0.1285697185,0.1588995966,0.0033802032
21,1.3125000000,4.1233403578,2048,475,0.2319335938,0.2222148835,0.2141661918,0.2507047438,0.0097187103
22,1.3750000000,4.3196898987,2048,630,0.3076171875,0.3086582838,0.2880051963,0.3279495371,0.0010410963
23,1.4375000000,4.5160394395,2048,806,0.3935546875,0.4024548390,0.3726145161,0.4148934329,0.0089001515
24,1.5000000000,4.7123889804,2048,1034,0.5048828125,0.5000000000,0.4832402339,0.5265071079,0.0048828125
25,1.5625000000,4.9087385212,2048,1237,0.6040039062,0.5975451610,0.5826470346,0.6249713455,0.0064587452
26,1.6250000000,5.1050880621,2048,1438,0.7021484375,0.6913417162,0.6819788711,0.7215610791,0.0108067213
27,1.6875000000,5.3014376029,2048,1584,0.7734375000,0.7777851165,0.7548056528,0.7910454875,0.0043476165
28,1.7500000000,5.4977871438,2048,1790,0.8740234375,0.8535533906,0.8589484996,0.8876978816,0.0204700469
29,1.8125000000,5.6941366846,2048,1871,0.9135742188,0.9157348062,0.9006170809,0.9249827688,0.0021605874
30,1.8750000000,5.8904862255,2048,1961,0.9575195312,0.9619397663,0.9478944332,0.9654314926,0.0044202350
31,1.9375000000,6.0868357663,2048,2024,0.9882812500,0.9903926402,0.9826217305,0.9921124486,0.0021113902
32,2.0000000000,6.2831853072,2048,2048,1.0000000000,1.0000000000,0.9981277994,1.0000000000,0.0000000000
