delay_ticks,window_start_tick,window_end_tick_exclusive,shots,clicks,observed_probability,expected_inside_window
0,4,10,128,0,0.0000000000,false
1,4,10,128,0,0.0000000000,false
2,4,10,128,0,0.0000000000,false
3,4,10,128,0,0.0000000000,false
4,4,10,128,128,1.0000000000,true
5,4,10,128,128,1.0000000000,true
6,4,10,128,128,1.0000000000,true
7,4,10,128,128,1.0000000000,true
8,4,10,128,128,1.0000000000,true
9,4,10,128,128,1.0000000000,true
10,4,10,128,0,0.0000000000,false
11,4,10,128,0,0.0000000000,false
12,4,10,128,0,0.0000000000,false
13,4,10,128,0,0.0000000000,false
14,4,10,128,0,0.0000000000,false
